"" "Ahlefeld_MarieMueller_1799" "Argens_Therese_1748" "Campe_Robinson_1779" "Cleland_Fanny-Hill_1748" "Crebillon_Schaumloeffel_1735" "Crebillon_Sopha_1742" "Defoe_Moll-Flanders_1722" "Defoe_Robinson-Crusoe_1719" "Diderot_Die-Nonne_1796" "Diderot_Jakob_1796" "Diderot_Kleinode_1748" "Ehrmann_Amalie_1787" "Ehrmann_Nina_1788" "Fielding_Tom-Jones_1749" "Forster_Ansichten_1791" "Gellert_Graefin-von-G_1747" "Goethe_Lehrjahre_1795" "Goethe_Werther_1774" "Haller_Usong_1771" "Heinse_Ardinghello_1787" "Heinse_Hildegard_1795" "Hippel_Kreuz-und-Querzuege_1793" "Hippel_Lebenslaeufe_1779" "Hoelderlin_Fragment-von-Hyperion_1794" "Hoelderlin_Hyperion_1797" "Hoelderlin_HyperionsJugend_1797" "Huber_Luise_1796" "Huber_Seldorf_1795" "Hunold_Adalie_1702" "Jacobi_Eduard-Allwill_1792" "Jacobi_Woldemar_1779" "Klinger_Faust_1791" "Klinger_Geschichte-eines-Teutschen_1798" "Knigge_Benjamin-Noldmann_1790" "Knigge_Braunschweig_1792" "Knigge_Josephs-von-Wurmbrands_1792" "La-Roche_Oneida_1798" "La-Roche_Rosaliens-Briefe_1779" "La-Roche_Sternheim_1771" "Lavater_Unveraenderte-Fragmente_1773" "Lesage_Gil-Blas_1715" "Lesage_Teufel_1707" "Liebeskind_Maria_1784" "Loen_Der-redliche-Mann_1740" "Mereau_Bluethenalter_1794" "Miller_Siegwart_1776" "Moritz_Anton-Reiser_1785" "Moritz_Hartknopf_1786" "Moritz_Hartknopfs-Predigerjahre_1790" "Mueller_Siegfried_1779" "Naubert_Alf-von-Duelmen_1790" "Naubert_Amtmannin_1787" "Naubert_Hermann-von-Unna_1788" "Nicolai_Sebaldus-Nothanker_1773" "Paul_Hesperus_1795" "Paul_Loge_1793" "Paul_Quintus-Fixlein_1796" "Paul_Siebenkaes_1796" "Pestalozzi_Lienhard-und-Gertrud_1781" "Pfeffel_Biographie-eines-Pudels_1789" "Prevost-dExiles_Manon-Lescaut_1731" "Restif-de-la-Bretonne_Anti-Justine_1793" "Sade_Geschichte-der-Justine_1797" "Schiller_Geisterseher_1787" "Schilling_Denkwuerdigkeiten_1787" "Schlegel_Lucinde_1799" "Schnabel_Kavalier_1738" "Schnabel_Wunderliche-Fata_1731" "Sterne_Tristram-Shandy_1759" "Swift_Gullivers-Reisen_1726" "Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "Tieck_Franz-Sternbald_1798" "Tieck_William-Lovell_1795" "Unger_Julchen-Gruenthal_1798" "Vulpius_Rinaldo-Rinaldini_1799" "Walpole_Otranto_1764" "Wezel_Belphegor_1776" "Wezel_Hermann-und-Ulrike_1780" "Wezel_Kakerlak_1784" "Wieland_Abderiten_1774" "Wieland_Agathon_1794" "Wieland_Der-goldene-Spiegel_1772" "Wieland_Don-Sylvio_1764" "Wieland_Peregrinus_1788" "Wobeser_Elisa_1795" "Wolzogen_Agnes_1798"
"Diderot_Kleinode_1748" 5 7 5 5 7 6 6 4 5 6 9 5 6 6 6 5 6 6 6 7 5 6 6 5 6 5 5 5 2 6 6 7 6 6 6 5 5 6 6 5 7 7 6 5 5 6 5 6 4 4 5 6 5 5 6 6 5 6 5 6 5 4 7 5 5 5 5 1 6 6 6 6 6 6 6 6 7 6 7 7 6 6 6 6 5 5
"Ehrmann_Amalie_1787" 6 7 6 4 6 6 7 5 6 6 5 8 8 6 4 6 7 7 6 5 5 7 6 6 7 6 5 5 2 7 7 6 6 5 6 3 5 6 7 6 7 6 7 4 6 7 5 7 5 4 6 7 6 6 7 6 4 5 7 6 6 4 6 5 6 6 5 1 6 5 7 7 7 7 7 7 7 7 6 5 5 4 6 6 6 5
"Ehrmann_Nina_1788" 7 8 6 4 7 7 7 5 6 6 6 8 9 7 5 6 8 8 7 6 6 8 7 7 8 7 6 6 2 8 8 7 7 5 7 4 6 7 8 7 8 7 8 4 7 8 6 8 6 4 7 8 7 6 8 7 5 6 7 7 6 4 7 6 7 7 5 1 7 5 8 8 8 8 8 8 8 8 7 6 6 5 7 7 7 6
"Fielding_Tom-Jones_1749" 6 7 6 4 7 6 6 5 5 5 6 6 7 9 5 6 7 7 6 6 6 7 6 6 7 6 6 6 2 7 7 6 6 5 7 4 6 7 7 6 7 7 7 4 6 7 6 7 5 4 6 7 6 6 7 6 5 6 6 7 5 3 6 6 6 6 5 1 6 5 7 7 7 7 7 7 7 7 6 6 6 5 6 6 6 6
"Forster_Ansichten_1791" 6 6 5 5 6 5 5 6 5 5 6 4 5 5 10 5 6 7 6 7 6 6 6 6 6 6 6 5 2 7 6 7 7 5 6 5 7 7 5 5 6 6 6 5 5 6 7 6 6 4 6 5 5 5 5 6 5 6 4 7 4 2 5 6 6 6 5 1 6 7 6 7 6 6 7 5 7 7 8 6 6 6 7 6 5 6
"Gellert_Graefin-von-G_1747" 5 7 7 5 6 5 7 6 6 7 5 6 6 6 5 9 7 7 5 5 5 7 6 5 6 5 7 5 2 7 6 6 5 6 7 3 6 7 6 5 7 8 7 4 5 7 6 6 5 5 5 6 5 7 6 6 5 6 6 7 6 3 5 7 6 5 6 1 6 6 7 7 6 7 7 6 6 8 7 5 5 4 6 5 5 5
"Goethe_Lehrjahre_1795" 7 9 7 5 7 7 8 6 7 7 6 7 8 7 6 7 10 10 7 6 6 9 8 7 8 7 7 6 2 9 8 8 7 5 8 4 7 8 8 7 9 8 9 4 6 9 7 8 7 5 7 8 7 7 8 8 6 7 7 8 6 4 7 7 8 7 6 1 8 6 9 9 8 9 9 8 8 9 8 6 6 5 8 7 7 6
"Goethe_Werther_1774" 8 9 7 5 7 7 8 7 7 7 6 7 8 7 7 7 10 12 7 7 7 9 8 8 10 9 7 6 2 10 9 8 8 5 8 4 8 9 8 7 9 8 9 4 6 9 8 9 8 5 8 8 7 7 8 8 6 7 7 9 6 4 7 7 9 9 6 1 8 7 9 11 10 9 10 8 9 10 9 6 6 5 9 7 7 7
"Haller_Usong_1771" 7 7 5 4 7 7 6 6 6 5 6 6 7 6 6 5 7 7 10 6 6 7 6 7 7 7 6 7 2 7 7 7 8 5 6 5 6 6 7 7 7 7 7 5 6 7 6 7 6 3 7 7 7 5 7 6 4 5 6 7 6 3 6 6 6 7 4 1 6 5 7 7 7 7 8 7 9 7 8 6 7 6 6 8 7 6
"Heinse_Ardinghello_1787" 6 6 5 4 7 5 5 5 4 5 7 5 6 6 7 5 6 7 6 9 7 6 6 7 7 6 5 5 2 8 7 7 7 6 6 5 6 7 6 5 6 6 6 5 5 6 6 7 5 4 6 6 5 5 6 6 5 6 5 7 4 3 6 5 6 6 5 1 6 7 6 7 7 6 7 6 8 7 8 7 6 6 7 6 5 6
"Heinse_Hildegard_1795" 7 6 5 4 6 6 5 6 5 4 5 5 6 6 6 5 6 7 6 7 11 6 5 8 7 7 6 6 2 8 7 5 7 4 6 4 7 7 6 6 6 6 6 4 6 6 7 7 6 3 7 6 6 5 6 5 4 5 5 7 5 2 5 6 6 7 4 1 5 5 7 7 7 6 7 6 7 7 6 5 6 5 6 6 6 7
"Hippel_Kreuz-und-Querzuege_1793" 7 10 7 5 7 7 8 6 7 7 6 7 8 7 6 7 9 9 7 6 6 13 10 7 8 7 7 6 2 9 8 8 7 5 8 4 7 8 8 8 9 8 9 5 6 10 8 8 8 5 7 8 7 8 8 8 6 7 8 9 6 4 7 7 8 7 6 1 8 6 9 9 8 10 9 9 8 9 8 6 6 5 8 7 7 6
"Hippel_Lebenslaeufe_1779" 6 9 6 5 6 6 7 5 6 7 6 6 7 6 6 6 8 8 6 6 5 10 11 6 7 6 6 5 2 8 7 8 6 5 7 4 6 7 7 7 8 7 8 5 5 9 7 7 7 5 6 7 6 7 7 8 6 7 7 7 5 4 7 6 7 6 6 1 8 6 8 8 7 9 8 8 7 8 8 6 5 5 8 6 6 5
"Hoelderlin_Fragment-von-Hyperion_1794" 8 7 5 4 6 7 6 6 6 5 5 6 7 6 6 5 7 8 7 7 8 7 6 10 8 8 6 6 2 9 8 7 8 4 6 4 7 7 7 7 7 6 7 4 6 7 7 8 7 3 8 7 7 5 7 6 4 5 6 7 6 3 6 6 7 8 4 1 6 5 7 8 8 7 8 7 8 8 7 5 6 5 7 7 7 7
"Hoelderlin_Hyperion_1797" 8 8 6 4 7 7 7 6 6 6 6 7 8 7 6 6 8 10 7 7 7 8 7 8 11 9 6 6 2 9 9 7 8 5 7 4 7 8 8 7 8 7 8 4 6 8 7 9 7 4 8 8 7 6 9 8 6 7 7 8 6 4 7 6 8 9 5 1 7 6 8 10 10 8 9 8 9 9 8 6 6 5 8 7 7 7
"Hoelderlin_HyperionsJugend_1797" 8 7 5 4 6 7 6 6 6 5 5 6 7 6 6 5 7 9 7 6 7 7 6 8 9 9 6 6 2 8 8 6 8 4 6 4 7 7 7 7 7 6 7 4 6 7 7 8 7 3 8 7 7 5 7 6 4 5 6 7 6 3 6 6 7 9 4 1 6 5 7 9 9 7 8 7 8 8 7 5 6 5 7 7 7 7
"Huber_Luise_1796" 6 7 6 5 6 6 6 6 6 6 5 5 6 6 6 7 7 7 6 5 6 7 6 6 6 6 8 6 2 7 6 6 6 5 7 4 7 7 6 6 7 8 7 4 6 7 7 6 6 4 6 6 6 6 6 6 5 6 5 7 6 2 5 8 6 6 5 1 6 5 7 7 6 7 7 6 6 7 6 5 6 5 6 6 6 6
"Huber_Seldorf_1795" 6 6 5 4 6 6 5 6 5 4 5 5 6 6 5 5 6 6 7 5 6 6 5 6 6 6 6 8 2 6 6 5 6 4 6 4 6 6 6 6 6 7 6 4 7 6 6 6 5 3 6 6 6 5 6 5 4 5 5 7 5 2 5 6 5 6 4 1 5 4 6 6 6 6 7 6 7 6 6 5 6 5 5 6 6 6
"Hunold_Adalie_1702" 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 1 1 2 2 2 2 2 2 1 2 2 2 2 1 2 2 1 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
"Jacobi_Eduard-Allwill_1792" 8 9 7 5 7 7 8 7 7 7 6 7 8 7 7 7 9 10 7 8 8 9 8 9 9 8 7 6 2 15 11 8 8 5 8 4 9 10 10 7 9 8 9 4 6 9 8 9 8 5 8 8 7 7 8 8 6 8 7 9 7 4 7 7 9 8 6 1 8 7 9 10 9 9 10 8 9 10 9 7 7 6 10 8 7 7
"Jacobi_Woldemar_1779" 8 8 6 4 7 7 7 6 6 6 6 7 8 7 6 6 8 9 7 7 7 8 7 8 9 8 6 6 2 11 13 7 8 5 7 4 7 8 9 7 8 7 8 4 6 9 7 9 7 4 9 9 8 6 8 7 5 6 7 8 7 4 7 6 8 8 5 1 7 6 8 9 9 8 9 9 9 9 8 7 7 6 9 8 7 7
"Klinger_Faust_1791" 6 9 6 5 7 6 7 5 7 8 7 6 7 6 7 6 8 8 7 7 5 8 8 7 7 6 6 5 2 8 7 12 8 6 7 5 6 7 8 6 8 7 8 5 5 8 6 7 6 5 6 7 6 6 7 8 6 7 6 7 5 4 7 6 7 6 6 1 8 7 8 8 7 9 8 8 8 9 9 7 6 6 8 7 6 6
"Klinger_Geschichte-eines-Teutschen_1798" 8 7 5 4 7 7 6 6 6 5 6 6 7 6 7 5 7 8 8 7 7 7 6 8 8 8 6 6 2 8 8 8 10 5 6 5 7 7 8 7 7 6 7 5 6 7 7 8 7 3 8 7 7 5 7 6 4 5 6 7 6 3 6 6 7 8 4 1 6 6 7 8 8 8 8 8 9 9 8 6 7 6 7 8 7 8
"Knigge_Benjamin-Noldmann_1790" 4 5 5 4 6 4 5 4 4 6 6 5 5 5 5 6 5 5 5 6 4 5 5 4 5 4 5 4 2 5 5 6 5 8 6 5 4 5 5 4 5 6 5 5 4 5 4 5 3 4 4 5 4 5 5 5 4 5 5 5 5 3 5 5 4 4 5 1 5 6 5 5 5 5 5 5 6 5 6 6 5 5 5 5 4 4
"Knigge_Braunschweig_1792" 6 8 7 5 7 6 7 6 6 7 6 6 7 7 6 7 8 8 6 6 6 8 7 6 7 6 7 6 2 8 7 7 6 6 10 5 7 8 7 6 8 8 8 4 6 8 8 7 6 5 6 7 6 8 7 7 6 7 6 9 5 3 6 7 7 6 6 1 8 6 8 8 7 8 8 7 7 8 7 6 6 5 7 6 6 6
"Knigge_Josephs-von-Wurmbrands_1792" 4 4 3 3 5 4 3 3 3 3 5 3 4 4 5 3 4 4 5 5 4 4 4 4 4 4 4 4 2 4 4 5 5 5 5 6 4 4 4 4 4 4 4 4 4 4 4 4 3 2 4 4 4 3 4 4 3 4 3 4 3 1 4 4 3 4 3 1 4 4 4 4 4 4 4 4 5 4 5 5 5 5 4 5 4 4
"La-Roche_Oneida_1798" 7 7 7 5 6 6 6 8 6 5 5 5 6 6 7 6 7 8 6 6 7 7 6 7 7 7 7 6 2 9 7 6 7 4 7 4 10 10 7 6 7 7 7 4 6 7 8 7 7 4 7 6 6 6 6 6 5 6 5 8 5 2 5 7 7 7 5 1 6 6 7 8 7 7 8 6 7 8 7 5 6 5 7 6 6 7
"La-Roche_Rosaliens-Briefe_1779" 7 8 8 5 7 6 7 8 6 6 6 6 7 7 7 7 8 9 6 7 7 8 7 7 8 7 7 6 2 10 8 7 7 5 8 4 10 11 8 6 8 8 8 4 6 8 8 8 7 5 7 7 6 7 7 7 6 7 6 9 5 3 6 7 8 7 6 1 7 7 8 9 8 8 9 7 8 9 8 6 6 5 8 6 6 7
"La-Roche_Sternheim_1771" 7 8 6 4 7 7 7 5 6 6 6 7 8 7 5 6 8 8 7 6 6 8 7 7 8 7 6 6 2 10 9 8 8 5 7 4 7 8 11 7 8 7 8 4 6 8 6 8 6 4 7 8 7 6 8 7 5 6 7 7 6 4 7 6 7 7 5 1 7 5 8 8 8 9 8 9 8 9 7 7 7 6 8 8 7 7
"Lavater_Unveraenderte-Fragmente_1773" 7 8 5 4 6 7 6 5 6 5 5 6 7 6 5 5 7 7 7 5 6 8 7 7 7 7 6 6 2 7 7 6 7 4 6 4 6 6 7 9 7 6 7 5 6 8 7 7 7 3 7 7 7 6 7 6 4 5 7 6 6 3 6 6 6 7 4 1 6 4 7 7 7 8 7 8 7 7 6 5 6 5 6 7 7 6
"Lesage_Gil-Blas_1715" 7 10 7 6 7 8 9 6 8 8 7 7 8 7 6 7 9 9 7 6 6 9 8 7 8 7 7 6 2 9 8 8 7 5 8 4 7 8 8 7 10 9 9 4 6 9 7 8 7 5 7 8 7 7 8 8 6 7 7 8 7 5 8 7 8 7 6 1 8 6 9 9 8 9 9 8 8 9 8 6 6 5 8 7 7 6
"Lesage_Teufel_1707" 6 9 7 6 7 7 8 7 7 8 7 6 7 7 6 8 8 8 7 6 6 8 7 6 7 6 8 7 2 8 7 7 6 6 8 4 7 8 7 6 9 11 8 4 6 8 7 7 6 5 6 7 6 7 7 7 6 7 6 9 7 4 7 8 7 6 6 1 7 6 8 8 7 8 9 7 8 8 8 6 6 5 7 6 6 6
"Liebeskind_Maria_1784" 7 9 7 5 7 7 8 6 7 7 6 7 8 7 6 7 9 9 7 6 6 9 8 7 8 7 7 6 2 9 8 8 7 5 8 4 7 8 8 7 9 8 9 4 6 9 7 8 7 5 7 8 7 7 8 8 6 7 7 8 6 4 7 7 8 7 6 1 8 6 9 9 8 9 9 8 8 9 8 6 6 5 8 7 7 6
"Loen_Der-redliche-Mann_1740" 4 5 4 4 5 4 4 4 4 4 5 4 4 4 5 4 4 4 5 5 4 5 5 4 4 4 4 4 3 4 4 5 5 5 4 4 4 4 4 5 4 4 4 8 4 5 5 4 4 3 4 4 4 5 4 4 3 4 5 4 4 2 4 4 3 4 5 2 4 5 4 4 4 5 4 5 5 4 5 5 5 5 4 5 4 4
"Mereau_Bluethenalter_1794" 6 6 5 4 6 6 5 5 5 4 5 6 7 6 5 5 6 6 6 5 6 6 5 6 6 6 6 7 2 6 6 5 6 4 6 4 6 6 6 6 6 6 6 4 8 6 6 6 5 3 6 6 6 5 6 5 4 5 5 6 5 2 5 6 5 6 4 1 5 4 6 6 6 6 6 6 6 6 5 5 6 5 5 6 6 6
"Miller_Siegwart_1776" 7 10 7 5 7 7 8 6 7 7 6 7 8 7 6 7 9 9 7 6 6 10 9 7 8 7 7 6 2 9 9 8 7 5 8 4 7 8 8 8 9 8 9 5 6 11 8 8 8 5 7 8 7 8 8 8 6 7 8 8 6 4 7 7 8 7 6 1 8 6 9 9 8 10 9 9 8 9 8 6 6 5 8 7 7 6
"Moritz_Anton-Reiser_1785" 7 8 6 5 6 6 6 7 6 6 5 5 6 6 7 6 7 8 6 6 7 8 7 7 7 7 7 6 2 8 7 6 7 4 8 4 8 8 6 7 7 7 7 5 6 8 11 8 9 4 7 6 6 8 6 6 5 6 6 9 5 2 5 7 7 7 5 1 7 6 7 8 7 8 8 7 7 8 7 5 6 5 7 6 6 7
"Moritz_Hartknopf_1786" 8 8 6 4 7 7 7 6 6 6 6 7 8 7 6 6 8 9 7 7 7 8 7 8 9 8 6 6 2 9 9 7 8 5 7 4 7 8 8 7 8 7 8 4 6 8 8 11 9 4 8 8 7 6 8 7 5 6 7 9 6 4 7 6 8 8 5 1 7 6 8 9 9 8 9 8 9 9 8 6 6 5 8 7 7 7
"Moritz_Hartknopfs-Predigerjahre_1790" 7 8 5 4 5 6 6 6 6 5 4 5 6 5 6 5 7 8 6 5 6 8 7 7 7 7 6 5 1 8 7 6 7 3 6 3 7 7 6 7 7 6 7 4 5 8 9 9 12 4 7 6 6 7 6 6 5 5 6 8 5 3 5 6 8 7 4 1 6 5 7 8 7 8 8 7 7 8 7 4 5 4 7 6 6 6
"Mueller_Siegfried_1779" 3 5 5 4 4 3 5 4 4 5 4 4 4 4 4 5 5 5 3 4 3 5 5 3 4 3 4 3 1 5 4 5 3 4 5 2 4 5 4 3 5 5 5 3 3 5 4 4 4 6 3 4 3 5 4 5 5 5 4 5 3 3 4 4 5 3 5 1 5 5 5 5 4 5 5 4 4 5 5 4 3 3 5 3 3 3
"Naubert_Alf-von-Duelmen_1790" 8 7 5 4 6 7 6 6 6 5 5 6 7 6 6 5 7 8 7 6 7 7 6 8 8 8 6 6 2 8 9 6 8 4 6 4 7 7 7 7 7 6 7 4 6 7 7 8 7 3 9 8 8 5 7 6 4 5 6 7 6 3 6 6 7 8 4 1 6 5 7 8 8 7 8 8 8 8 7 5 6 5 7 7 7 7
"Naubert_Amtmannin_1787" 7 8 6 4 7 7 7 5 6 6 6 7 8 7 5 6 8 8 7 6 6 8 7 7 8 7 6 6 2 8 9 7 7 5 7 4 6 7 8 7 8 7 8 4 6 8 6 8 6 4 8 9 8 6 8 7 5 6 7 7 6 4 7 6 7 7 5 1 7 5 8 8 8 8 8 9 8 8 7 6 6 5 7 7 7 6
"Naubert_Hermann-von-Unna_1788" 7 7 5 4 6 7 6 5 6 5 5 6 7 6 5 5 7 7 7 5 6 7 6 7 7 7 6 6 2 7 8 6 7 4 6 4 6 6 7 7 7 6 7 4 6 7 6 7 6 3 8 8 8 5 7 6 4 5 6 6 6 3 6 6 6 7 4 1 6 4 7 7 7 7 7 8 7 7 6 5 6 5 6 7 7 6
"Nicolai_Sebaldus-Nothanker_1773" 5 8 7 5 6 5 7 6 6 7 5 6 6 6 5 7 7 7 5 5 5 8 7 5 6 5 6 5 2 7 6 6 5 5 8 3 6 7 6 6 7 7 7 5 5 8 8 6 7 5 5 6 5 11 6 6 5 6 7 9 5 3 5 6 6 5 6 1 7 6 7 7 6 8 7 7 6 7 6 5 5 4 6 5 5 5
"Paul_Hesperus_1795" 7 8 6 4 7 7 7 5 6 6 6 7 8 7 5 6 8 8 7 6 6 8 7 7 9 7 6 6 2 8 8 7 7 5 7 4 6 7 8 7 8 7 8 4 6 8 6 8 6 4 7 8 7 6 14 11 8 10 7 7 6 4 7 6 7 7 5 1 7 5 8 8 8 8 8 8 8 8 7 6 6 5 7 7 7 6
"Paul_Loge_1793" 6 8 6 5 6 6 7 5 6 7 6 6 7 6 6 6 8 8 6 6 5 8 8 6 8 6 6 5 2 8 7 8 6 5 7 4 6 7 7 6 8 7 8 4 5 8 6 7 6 5 6 7 6 6 11 15 10 11 6 7 5 4 7 6 7 6 6 1 8 6 8 8 7 8 8 7 7 8 8 6 5 5 8 6 6 5
"Paul_Quintus-Fixlein_1796" 4 6 5 4 5 4 5 4 4 5 5 4 5 5 5 5 6 6 4 5 4 6 6 4 6 4 5 4 1 6 5 6 4 4 6 3 5 6 5 4 6 6 6 3 4 6 5 5 5 5 4 5 4 5 8 10 12 9 4 6 3 3 5 5 6 4 5 1 6 5 6 6 5 6 6 5 5 6 6 5 4 4 6 4 4 4
