"m_Argens_Therese_1748" "m_Arnim_Graefin-Dolores_1810" "m_Arnim_Isabella-von-Aegypten_1812" "m_Bruckbraeu_Mittheilungen_1829" "m_Cleland_Fanny-Hill_1748" "m_Klinger_Faust_1791" "m_Paul_Loge_1793" "m_Pestalozzi_Lienhard-und-Gertrud_1781" "m_Scott_Ivanhoe_1819" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Wezel_Belphegor_1776" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"damit" 0.055591316051261 0.0341408383802399 0.0455477112275108 0.0452089298400465 0.0325006964434952 0.0621494383244511 0.0943966921271829 0.0637516184367052 0.0425664171238615 0.0492752287398658 0.0451030927835052 0.0497861458734074 0.0378398832369317 0.0384343076767472 0.0174034110685694
"obgleich" 0.0263327286558605 0.00371096069350433 0 0.0355213020171794 0.00464295663478503 0.00310747191622256 0.00797718525018447 0.00131446635951969 0.0337828707332234 0.00354498048488243 0.0118127147766323 0.00452601326121886 0 0.0161828663902094 0.00535489571340598
"wiewohl" 0 0.000742192138700867 0 0.00215280618285936 0 0 0.00864195068769985 0 0.00202697224399341 0.000708996096976486 0.00536941580756014 0.00452601326121886 0.0180189920175865 0.0262971578840902 0.0013387239283515
"leser" 0 0.0044531528322052 0 0.0204516587371639 0 0.00466120787433384 0.0764480253142679 0.00197169953927954 0.00878354639063809 0.00531747072732365 0.00751718213058419 0.00226300663060943 0 0.00809143319510468 0.0013387239283515
"davon" 0.0468137398326409 0.0608597553734711 0.0506085680305676 0.0344448989257497 0.00464295663478503 0.0528270225757835 0.0265906175006149 0.0460063225831893 0.0324315559038945 0.0436032599640539 0.0644329896907216 0.07920523207133 0.0756797664738635 0.0930514817437039 0.0254357546386784
"wollt" 0.00292585873954005 0.00371096069350433 0 0 0 0.0124298876648902 0.0312439755632225 0.0144591299547166 0.0141888057079538 0.00177249024244122 0.00429553264604811 0.0113150331530471 0.00180189920175865 0 0.00535489571340598
"gesagt" 0.0672947510094213 0.0185548034675217 0.00506085680305676 0.00968762782286711 0.0139288699043551 0.00776867979055639 0.0199429631254612 0.0650660847962248 0.0202697224399341 0.0113439375516238 0.00859106529209622 0.0203670596754848 0.0270284880263798 0.00809143319510468 0.0307906503520844
"dergleichen" 0 0.00371096069350433 0.00253042840152838 0.00215280618285936 0.00464295663478503 0.00310747191622256 0.0132953087503075 0.0269465603701537 0.00675657414664469 0.013116427794065 0.00751718213058419 0 0.00720759680703461 0.0161828663902094 0.0013387239283515
"herren" 0.0234068699163204 0.0126172663579147 0.0607302816366811 0.030139286560031 0.00928591326957006 0.0341821910784481 0.00465335806260761 0.0223459281118348 0.0270262965865787 0.0269418516851065 0.0171821305841924 0 0.0162170928158279 0 0.00267744785670299
"kurz" 0.0234068699163204 0.0133594584966156 0.00253042840152838 0.0139932401885858 0.0557154796174204 0.00621494383244511 0.033903037313284 0.0111729640559174 0.0135131482932894 0.0205608868123181 0.0343642611683849 0.0271560795673131 0.0306322864298971 0.0101142914938809 0.00535489571340598
"sache" 0.0146292936977003 0.0126172663579147 0.00253042840152838 0.0258336741943123 0.0464295663478503 0.0170910955392241 0.0239315557505534 0.0276037935499136 0.0222966946839275 0.0297778360730124 0.0193298969072165 0.0113150331530471 0.0144151936140692 0.0606857489632851 0.00803234357010897
"gerade" 0.0263327286558605 0.0192969956062225 0.00759128520458514 0.0484381391143355 0.0510725229826353 0.00155373595811128 0.0491926423761376 0.0223459281118348 0.0202697224399341 0.0223333770547593 0.0182560137457045 0.00452601326121886 0.0126132944123106 0.0445028825730758 0.00535489571340598
"sondern" 0.0292585873954006 0.033398646241539 0.0506085680305676 0.0731954102172181 0.0325006964434952 0.00776867979055639 0.184804791629274 0.0381195244260711 0.0479716764411773 0.0329683185094066 0.0526202749140893 0.0452601326121886 0.041443681640449 0.0869829068473753 0.0415004417788964
"oben" 0.00877757621862017 0.00816411352570954 0.0101217136061135 0.00645841854857807 0.0139288699043551 0.00621494383244511 0.028584913813161 0.0157735963142363 0.00810788897597362 0.00531747072732365 0.0128865979381443 0.00452601326121886 0.00180189920175865 0.00809143319510468 0
"kopf" 0.0292585873954006 0.0141016506353165 0.0430172828259824 0.0129168370971561 0.0510725229826353 0.0170910955392241 0.0372268645008609 0.109100707840135 0.0249993243425853 0.0361588009458008 0.0332903780068729 0.0497861458734074 0.0450474800439663 0.00606857489632851 0.0187421349969209
"drei" 0.0614430335303412 0.0274611091319321 0.0151825704091703 0.0548965576629136 0.0325006964434952 0.0233060393716692 0.0704651363766295 0.0315471926284727 0.0371611578065458 0.0326138204609184 0.0332903780068729 0.0294190861979226 0.0162170928158279 0.024274299585314 0.010709791426812
"sogar" 0.0380361636140207 0.0133594584966156 0.00506085680305676 0.0182988525543045 0.0232147831739252 0.0124298876648902 0.0518517041261991 0.00591509861783862 0.0121618334639604 0.0311958282669654 0.0204037800687285 0.015841046414266 0.0144151936140692 0.0222514412865379 0.00267744785670299
"sagt" 0.0321844461349406 0.0148438427740173 0.00506085680305676 0.0236808680114529 0 0.0357359270365594 0.0717946672516603 0.0939843447056581 0.0297289262452366 0.0127619297455768 0.00644329896907216 0.0452601326121886 0.0126132944123106 0.00606857489632851 0.0240970307103269
"wäre" 0.0731464684885014 0.095000593753711 0.0632607100382095 0.0796538287657962 0.0603584362522054 0.0543807585338947 0.0850899760019677 0.0966132774246975 0.096619010297019 0.107058410643449 0.078393470790378 0.169725497295707 0.142350036938934 0.113280064731466 0.108436638196471
"darin" 0.0204810111767804 0.0512112575703598 0.0480781396290392 0.0172224494628749 0.0232147831739252 0.00776867979055639 0.0698003709391141 0.000657233179759847 0.011486176049296 0.0148889180365062 0 0.0429971259815791 0.041443681640449 0.0445028825730758 0.00669361964175748
"tat" 0.0438878810931008 0.0252345327158295 0.0227738556137554 0.030139286560031 0.0742873061565605 0.0590419664082286 0.0452040497510453 0.0545503539200673 0.0412151022945326 0.0368677970427773 0.0569158075601375 0.00905202652243771 0.0396417824386904 0.0606857489632851 0.0254357546386784
"dabei" 0.0585171747908011 0.0638285239282746 0.0657911384397378 0.0290628834686013 0.0232147831739252 0.0217523034135579 0.0199429631254612 0.0177452958535159 0.0222966946839275 0.0326138204609184 0.040807560137457 0.0271560795673131 0.0756797664738635 0.0323657327804187 0.0013387239283515
"hätt" 0 0.000742192138700867 0.00253042840152838 0.00107640309142968 0 0.00621494383244511 0.0299144446881918 0.00131446635951969 0.000675657414664469 0.00319048243639419 0 0.00226300663060943 0 0.00202285829877617 0
"etwa" 0.00877757621862017 0.0044531528322052 0.00506085680305676 0.00861122473143743 0.0464295663478503 0.00621494383244511 0.0219372594380073 0.00788679815711816 0.0135131482932894 0.0194973926668534 0.00107388316151203 0 0 0.00404571659755234 0.00401617178505449
"antwortete" 0.0321844461349406 0.0497268732929581 0.0227738556137554 0.00753482164000775 0.0650013928869904 0.0186448314973353 0.00199429631254612 0.0775535152116619 0.0655387692224534 0.0560106916611424 0.0118127147766323 0.0362081060897508 0.0198208912193452 0.012137149792657 0.0174034110685694
"zwar" 0.0175551524372403 0.0185548034675217 0.0101217136061135 0.0376741082000387 0.0557154796174204 0.00776867979055639 0.0398859262509224 0.0177452958535159 0.0385124726358747 0.0638096487278837 0.040807560137457 0.00452601326121886 0.00900949600879327 0.0364114493779711 0.0548876810624113
"selber" 0.122886067060682 0.00742192138700867 0 0.00215280618285936 0 0.00155373595811128 0.173503779191512 0.12750323687341 0.03175589848923 0.00212698829092946 0.00214776632302406 0 0 0.00404571659755234 0.0013387239283515
"wovon" 0.00585171747908011 0.0066797292483078 0.00759128520458514 0.0118404340057265 0 0.0124298876648902 0.010636247000246 0.00262893271903939 0.00135131482932894 0.00602646682430013 0.0204037800687285 0.0271560795673131 0.0144151936140692 0.00606857489632851 0.0013387239283515
"darüber" 0.0351103048744807 0.0423049519059494 0.053138996432096 0.0182988525543045 0.0232147831739252 0.0186448314973353 0.0305792101257071 0.0315471926284727 0.0128374908786249 0.0326138204609184 0.0236254295532646 0.0181040530448754 0.0378398832369317 0.0627086072620613 0.0120485153551635
"gesetzt" 0.0117034349581602 0.00816411352570954 0.0151825704091703 0.0107640309142968 0.0139288699043551 0.00776867979055639 0.00465335806260761 0.00262893271903939 0.010134861219967 0.0226878751032476 0.00322164948453608 0.0181040530448754 0.0108113952105519 0.0303428744816426 0.00803234357010897
"geheimnis" 0.00585171747908011 0.0141016506353165 0.00759128520458514 0 0 0.00776867979055639 0.000664765437515373 0 0 0 0 0 0.00540569760527596 0 0
"nase" 0.00585171747908011 0.0103906899418121 0.0126521420076419 0.00322920927428904 0 0.0139836236230015 0.00465335806260761 0.0144591299547166 0.00135131482932894 0.0109894395031355 0.0107388316151203 0.00226300663060943 0 0.00404571659755234 0
"kopfe" 0.00292585873954005 0.011132882080513 0.0151825704091703 0.00861122473143743 0 0 0.0265906175006149 0.00262893271903939 0.00608091673198022 0.0120529336486003 0.0236254295532646 0.00452601326121886 0.00720759680703461 0.00202285829877617 0.00267744785670299
"ei" 0.00292585873954005 0.00964849780311127 0.0253042840152838 0.00215280618285936 0 0.00155373595811128 0.00265906175006149 0 0.0135131482932894 0.00212698829092946 0.00107388316151203 0 0 0 0
"jedoch" 0.0263327286558605 0.000742192138700867 0 0.093647068954382 0.00464295663478503 0 0.00265906175006149 0 0.0222966946839275 0.0191428946183651 0 0 0 0 0.00401617178505449
"daran" 0.0321844461349406 0.0282033012706329 0.0253042840152838 0.0150696432800155 0.0139288699043551 0.0139836236230015 0.0352325681883148 0.0394339907855908 0.0222966946839275 0.0315503263154536 0.0322164948453608 0.0181040530448754 0.0180189920175865 0.0262971578840902 0.013387239283515
"meinung" 0.0234068699163204 0.0103906899418121 0.0126521420076419 0.0290628834686013 0.00464295663478503 0.0186448314973353 0.00199429631254612 0.0151163631344765 0.0141888057079538 0.00354498048488243 0.0193298969072165 0.00678901989182828 0.0126132944123106 0.0222514412865379 0.00401617178505449
"nachdem" 0.0731464684885014 0.0415627597672485 0.0581998532351527 0.0129168370971561 0.0650013928869904 0.0326284551203369 0.00465335806260761 0.0144591299547166 0.0371611578065458 0.0138254238910415 0.0225515463917526 0.0203670596754848 0.0270284880263798 0.0505714574694043 0.0522102332057083
"rede" 0.00292585873954005 0.0141016506353165 0.0177129988106987 0.0139932401885858 0.00928591326957006 0.0170910955392241 0.00598288893763835 0.025632094010634 0.0249993243425853 0.0237513692487123 0.00644329896907216 0.0135780397836566 0.0198208912193452 0.0546171740669566 0.0013387239283515
"darauf" 0.0497395985721809 0.0526956418477615 0.0430172828259824 0.0613549762114917 0.0789302627913455 0.0481658147014496 0.033903037313284 0.0584937529986264 0.0378368152212102 0.0404127775276597 0.0719501718213058 0.031682092828532 0.0486512784474836 0.107211489835137 0.010709791426812
"euch" 0.0351103048744807 0.0742192138700867 0.0556694248336243 0.0495145422057652 0.0139288699043551 0.211308090303134 0.0432097534384992 0.166279994479241 0.183103159374071 0.0489207306913775 0.0440292096219931 0.0113150331530471 0.00540569760527596 0 0.0896945031995502
"worauf" 0.00877757621862017 0.00816411352570954 0.0151825704091703 0.0107640309142968 0.00464295663478503 0.00776867979055639 0.0073124198126691 0.00525786543807878 0.00945920380530256 0.00319048243639419 0.0171821305841924 0.00226300663060943 0.00180189920175865 0.00606857489632851 0.0013387239283515
"daher" 0.0292585873954006 0.011132882080513 0 0.0419797205657575 0.0789302627913455 0.00466120787433384 0.057169827626322 0.0131446635951969 0.043242074538526 0.00708996096976486 0.0150343642611684 0.015841046414266 0.0198208912193452 0.0343885910791949 0.010709791426812
"geld" 0.0175551524372403 0.0200391877449234 0.0607302816366811 0.0172224494628749 0.0139288699043551 0.0139836236230015 0.010636247000246 0.0433773898641499 0.0222966946839275 0.0049629726788354 0.0236254295532646 0.015841046414266 0.0234246896228625 0.00202285829877617 0.0281132024953814
"also" 0.122886067060682 0.0341408383802399 0.0480781396290392 0.0548965576629136 0.157860525582691 0.0124298876648902 0.0631527165639604 0.0499497216617484 0.0304045836599011 0.0241058672972005 0.0612113402061856 0.0611011790264545 0.052255076851001 0.0546171740669566 0.0843396074861442
"solche" 0.0234068699163204 0.0163282270514191 0.00253042840152838 0.0290628834686013 0.0278577398087102 0.0124298876648902 0.0452040497510453 0.0236603944713545 0.0391881300505392 0.0244603653456888 0.0354381443298969 0.00678901989182828 0.0198208912193452 0.0485485991706281 0.013387239283515
"unten" 0.00585171747908011 0.011132882080513 0 0.00215280618285936 0.00928591326957006 0.00155373595811128 0.0245963211880688 0.0184025290332757 0.00337828707332234 0.00106349414546473 0.00107388316151203 0 0.00180189920175865 0 0
"ursache" 0.0146292936977003 0.0089063056644104 0.0101217136061135 0.0107640309142968 0.00464295663478503 0.0155373595811128 0.00864195068769985 0.00328616589879923 0.0202697224399341 0.0120529336486003 0.0300687285223368 0.0294190861979226 0.0360379840351731 0.0161828663902094 0.00803234357010897
"wein" 0.0234068699163204 0.0126172663579147 0.0354259976213973 0.0236808680114529 0.0185718265391401 0.00310747191622256 0.00997148156273059 0.0532358875605476 0.0277019540012432 0.0159524121819709 0 0 0 0 0.00267744785670299
"indes" 0 0 0 0 0 0 0.0245963211880688 0 0 0 0 0 0.00180189920175865 0 0
"mensch" 0.0614430335303412 0.0437893361833511 0.0354259976213973 0.0118404340057265 0.00928591326957006 0.0621494383244511 0.067806074626568 0.0749245824926226 0.00810788897597362 0.0159524121819709 0.0493986254295533 0.0226300663060943 0.00360379840351731 0.024274299585314 0.0227583067819754
"habt" 0.00292585873954005 0.0141016506353165 0 0.00322920927428904 0 0.0248597753297805 0.00265906175006149 0.0184025290332757 0.0445933893678549 0.00779895706674135 0.0128865979381443 0 0 0 0.0013387239283515
"wasser" 0.00877757621862017 0.0244923405771286 0.0303651408183405 0.0161460463714452 0.0185718265391401 0.0139836236230015 0.033903037313284 0.0197169953927954 0.0162157779519472 0.00957144730918256 0.0118127147766323 0.0113150331530471 0.0108113952105519 0.00202285829877617 0.00267744785670299
"sobald" 0.0497395985721809 0.0066797292483078 0 0.0161460463714452 0.0789302627913455 0.00466120787433384 0.0192781976879458 0.0105157308761576 0.0222966946839275 0.0272963497335947 0.00859106529209622 0.015841046414266 0.0108113952105519 0.0445028825730758 0.0160646871402179
"gewissen" 0.0204810111767804 0.0141016506353165 0.0253042840152838 0.0139932401885858 0.00928591326957006 0.0139836236230015 0.0152896050628536 0.00788679815711816 0.011486176049296 0.0202063887638299 0.0354381443298969 0.00226300663060943 0.0108113952105519 0.024274299585314 0.0013387239283515
"heißt" 0 0.00371096069350433 0.00253042840152838 0.0129168370971561 0 0.0139836236230015 0.00265906175006149 0.0131446635951969 0.0121618334639604 0.00638096487278838 0.0118127147766323 0.00905202652243771 0.00540569760527596 0.00606857489632851 0.00267744785670299
"ende" 0.0321844461349406 0.0133594584966156 0.0151825704091703 0.0312156896514607 0.0371436530782802 0.0326284551203369 0.0365620990633455 0.0203742285725553 0.0439177319531905 0.0283598438790594 0.0365120274914089 0.0294190861979226 0.0288303872281385 0.012137149792657 0.00669361964175748
"desto" 0.00292585873954005 0.00371096069350433 0.00253042840152838 0.00538201545714839 0 0.00621494383244511 0.0159543705003689 0.0118301972356772 0.00743223156130915 0.0428942638670774 0.0343642611683849 0.00678901989182828 0.0162170928158279 0.0364114493779711 0.0147259632118664
"herum" 0.00585171747908011 0.0089063056644104 0.0101217136061135 0.00215280618285936 0.00928591326957006 0.0217523034135579 0.0252610866255842 0.017088062673756 0.00608091673198022 0.0141799219395297 0.0268470790378007 0.00452601326121886 0.00540569760527596 0 0
"eigenen" 0.0263327286558605 0.0133594584966156 0.00253042840152838 0.0462853329314762 0.0232147831739252 0.00155373595811128 0.000664765437515373 0.00460063225831893 0.0385124726358747 0.0333228165578948 0 0.0135780397836566 0.00720759680703461 0.0343885910791949 0.00535489571340598
"lieber" 0.0819240447071215 0.0475002968768555 0.0278347124168122 0.0344448989257497 0.00464295663478503 0.00776867979055639 0.0538460004387452 0.0788679815711816 0.0249993243425853 0.090397002364502 0.0311426116838488 0.0248930729367037 0.0288303872281385 0.0202285829877617 0.0227583067819754
"person" 0.00292585873954005 0.00148438427740173 0.00759128520458514 0.0172224494628749 0.00928591326957006 0.010876151706779 0.010636247000246 0 0.0304045836599011 0.00886245121220608 0.0150343642611684 0.047523139242798 0.0576607744562769 0.0182057246889855 0.00267744785670299
"mag" 0.0117034349581602 0.0215235720223251 0.0151825704091703 0.030139286560031 0 0.0295209832041143 0.0152896050628536 0.0328616589879923 0.0337828707332234 0.0475027384974246 0.0182560137457045 0.00905202652243771 0.0216227904211038 0.0525943157681804 0.0200808589252724
"ohren" 0.00292585873954005 0.00593753710960694 0.0253042840152838 0.00753482164000775 0 0.0186448314973353 0.0172839013753997 0.0105157308761576 0.011486176049296 0.0226878751032476 0.0128865979381443 0 0 0 0.0013387239283515
"übel" 0.00585171747908011 0.0089063056644104 0.00253042840152838 0.00215280618285936 0 0.00932241574866767 0.00664765437515373 0.0164308294939962 0.00405394448798681 0.0113439375516238 0.0171821305841924 0.0384711127203603 0.0180189920175865 0.0161828663902094 0.00267744785670299
"große" 0.0380361636140207 0.0378517990737442 0.020243427212227 0.0344448989257497 0 0.0326284551203369 0.0405506916884377 0 0.0277019540012432 0.0358043028973125 0.0365120274914089 0.0226300663060943 0.0342360848334144 0.058662890664509 0.010709791426812
"kommt" 0.00585171747908011 0.0363674147963425 0.020243427212227 0.0258336741943123 0 0.0139836236230015 0.023266790313038 0.0348333585272719 0.0249993243425853 0.0237513692487123 0.00751718213058419 0.00678901989182828 0.00720759680703461 0.0202285829877617 0.00803234357010897
"guter" 0.0175551524372403 0.0170704191901199 0.00759128520458514 0.00538201545714839 0.00928591326957006 0.00932241574866767 0.0126305433127921 0.0157735963142363 0.0391881300505392 0.0216243809577828 0.00966494845360825 0.00905202652243771 0.0144151936140692 0.00202285829877617 0.0214195828536239
"tut" 0.0117034349581602 0.0089063056644104 0.0101217136061135 0.00107640309142968 0 0.0124298876648902 0.0206077285629766 0.0552075870998271 0.0162157779519472 0.0170159063274357 0.00644329896907216 0.00678901989182828 0.00720759680703461 0.00606857489632851 0.0120485153551635
"wozu" 0.00585171747908011 0.00964849780311127 0.020243427212227 0.0182988525543045 0.00928591326957006 0.0310747191622256 0.00398859262509224 0.00328616589879923 0.00675657414664469 0.00177249024244122 0.0311426116838488 0.00452601326121886 0.0108113952105519 0.00404571659755234 0.0013387239283515
"kunst" 0 0.0185548034675217 0.00759128520458514 0.0398269143828981 0 0.0201985674554466 0.010636247000246 0.00328616589879923 0.011486176049296 0.0191428946183651 0.0150343642611684 0.0135780397836566 0.0270284880263798 0.101142914938809 0.00267744785670299
"viele" 0.0263327286558605 0.0571487946799668 0.020243427212227 0.0226044649200232 0.0139288699043551 0.0264135112878917 0.0452040497510453 0.0295754930891931 0.0182427501959407 0.0358043028973125 0.0493986254295533 0.0565751657652357 0.0774816656756221 0.024274299585314 0.0441778896355993
"könnt" 0 0.00371096069350433 0.00253042840152838 0.00215280618285936 0 0.0139836236230015 0.0186134322504304 0.00920126451663786 0.00472960190265128 0.00141799219395297 0.00214776632302406 0 0 0.00606857489632851 0.00535489571340598
"z" 0 0.000742192138700867 0 0.00753482164000775 0 0 0.0305792101257071 0.00788679815711816 0.00202697224399341 0.00106349414546473 0.00214776632302406 0 0.00720759680703461 0.0424800242742996 0
"besser" 0.0175551524372403 0.011132882080513 0.020243427212227 0.00968762782286711 0.00928591326957006 0.027967247246003 0.028584913813161 0.0545503539200673 0.0445933893678549 0.0347408087518478 0.0193298969072165 0.0113150331530471 0.0180189920175865 0.024274299585314 0.0227583067819754
"einmal" 0.0585171747908011 0.0875786723667023 0.0885649940534933 0.0387505112914684 0.0603584362522054 0.0916704215285654 0.13361785294059 0.164965528119722 0.0351341855625524 0.0942964808978727 0.0612113402061856 0.0407341193509697 0.0540569760527596 0.127440072822899 0.0481940614206538
"hierauf" 0.0468137398326409 0.00593753710960694 0 0.00107640309142968 0 0.0497195506595609 0 0.00525786543807878 0.0135131482932894 0.000354498048488243 0.00214776632302406 0.0113150331530471 0.00900949600879327 0.0101142914938809 0.010709791426812
"hingegen" 0 0 0 0 0 0 0.0239315557505534 0.0118301972356772 0 0.00921694926069432 0.00859106529209622 0.00678901989182828 0.0162170928158279 0.0404571659755234 0.0013387239283515
"rücken" 0.00877757621862017 0.00593753710960694 0.00506085680305676 0.00753482164000775 0.00928591326957006 0.00310747191622256 0.0119657778752767 0.00131446635951969 0.010134861219967 0.00921694926069432 0.0214776632302405 0.00226300663060943 0 0.00809143319510468 0
"sag" 0 0.00519534497090607 0.00759128520458514 0.00430561236571871 0 0.00466120787433384 0.00930671612521522 0.0223459281118348 0.00608091673198022 0 0 0.00678901989182828 0 0 0
"vorher" 0.0146292936977003 0.0141016506353165 0.00759128520458514 0.00538201545714839 0.00928591326957006 0.0124298876648902 0.023266790313038 0.0144591299547166 0.0108105186346315 0.0155979141334827 0.0279209621993127 0.015841046414266 0.0108113952105519 0.0303428744816426 0
"dafür" 0.0263327286558605 0.0163282270514191 0.0177129988106987 0.0236808680114529 0.0139288699043551 0.0310747191622256 0.00997148156273059 0.0269465603701537 0.0209453798545985 0.0290688399760359 0.0322164948453608 0 0.0216227904211038 0.0303428744816426 0.0160646871402179
"nötig" 0.0175551524372403 0.0022265764161026 0.0126521420076419 0.0226044649200232 0.0232147831739252 0.00310747191622256 0.00930671612521522 0.025632094010634 0.00878354639063809 0.0170159063274357 0.0118127147766323 0.0226300663060943 0.0216227904211038 0.00404571659755234 0.00401617178505449
"gewesen" 0.0321844461349406 0.0734770217313858 0.0708519952427946 0.026910077285742 0.0696443495217755 0.0155373595811128 0.0352325681883148 0.0782107483914218 0.0601335099051377 0.0457302482549834 0.0698024054982818 0.0859942519631583 0.0756797664738635 0.12137149792657 0.0669361964175748
"zwei" 0.0585171747908011 0.0341408383802399 0.0379564260229257 0.0753482164000775 0.0789302627913455 0.0357359270365594 0.115669186127675 0.0374622912463113 0.0689170562957758 0.0482117345944011 0.0225515463917526 0.0271560795673131 0.0198208912193452 0.0424800242742996 0.0481940614206538
"soviel" 0.00877757621862017 0.000742192138700867 0.00506085680305676 0 0.0232147831739252 0.00310747191622256 0 0.00197169953927954 0 0 0 0.0135780397836566 0.0180189920175865 0 0.00267744785670299
"wären" 0.0263327286558605 0.0237501484384277 0.0303651408183405 0.0150696432800155 0 0.00932241574866767 0.0239315557505534 0.0216886949320749 0.0290532688305721 0.027650847782083 0.0289948453608247 0.0203670596754848 0.0270284880263798 0.0283200161828664 0.0174034110685694
