"m_Arnim_Graefin-Dolores_1810" "m_Brentano_Godwi_1801" "m_Clauren_Liebe-und-Irrtum_1827" "m_Cleland_Fanny-Hill_1748" "m_Crebillon_Schaumloeffel_1735" "m_Crebillon_Sopha_1742" "m_Fielding_Tom-Jones_1749" "m_Forster_Ansichten_1791" "m_Goethe_Werther_1774" "m_Hauff_Bettlerin_1826" "m_Hoelderlin_Fragment-von-Hyperion_1794" "m_Hoffmann_Elixiere_1816" "m_Jacobi_Eduard-Allwill_1792" "m_Knigge_Benjamin-Noldmann_1790" "m_Lavater_Unveraenderte-Fragmente_1773" "m_Lesage_Teufel_1707" "m_Loen_Der-redliche-Mann_1740" "m_Moritz_Anton-Reiser_1785" "m_Mueller_Siegfried_1779" "m_Novalis_Lehrlinge_1802" "m_Paul_Flegeljahre_1804" "m_Paul_Hesperus_1795" "m_Paul_Katzenberger_1809" "m_Paul_Luftschiffers-Giannozzo_1801" "m_Paul_Titan_1800" "m_Pestalozzi_Lienhard-und-Gertrud_1781" "m_Pfeffel_Biographie-eines-Pudels_1789" "m_Sade_Geschichte-der-Justine_1797" "m_Schiller_Geisterseher_1787" "m_Schilling_Denkwuerdigkeiten_1787" "m_Schlegel_Lucinde_1799" "m_Schnabel_Kavalier_1738" "m_Spindler_Der-Jude_1827" "m_Stendhal_Rot-und-Schwarz_1830" "m_Tieck_William-Lovell_1795" "m_Waiblinger_Briten-in-Rom_1828" "m_Wezel_Belphegor_1776" "m_Wieland_Agathon_1794" "m_Wieland_Aristipp_1801" "m_Wieland_Der-goldene-Spiegel_1772" "m_Wieland_Peregrinus_1788" "w_Ehrmann_Nina_1788" "w_Fischer_Guenstling_1808" "w_Fischer_Honigmonathe_1802" "w_Fischer_Margarethe_1812" "w_Fouque_Falkenstein_1810" "w_Fouque_Magie-der-Natur_1812" "w_Fouque_Resignation_1829" "w_Huber_Ellen-Percy_1822" "w_La-Roche_Oneida_1798" "w_La-Roche_Rosaliens-Briefe_1779" "w_Mereau_Amanda-und-Eduard_1803" "w_Mereau_Bluethenalter_1794" "w_Naubert_Amtmannin_1787" "w_Naubert_Hermann-von-Unna_1788" "w_Schlegel_Florentin_1801"
"nämlich" 0.00593753710960694 0.00504049195201452 0.0043525571273123 0.0278577398087102 0.00157383654133682 0.00285636755737728 0.0171269422611253 0.0180918077005312 0 0.0109247828699405 0 0.0140154169586545 0.00403144527313042 0.0439277870038035 0.0130365955861812 0.0022625714124102 0 0.036472843252136 0 0 0.101496602070279 0.0675012024914815 0.135712670087261 0.0673476259961836 0.0516501662607542 0.00262893271903939 0 0.00569489054420374 0.00525665624096512 0.00868771990791017 0.0066851622823144 0 0.0087287190035598 0.0198335223715934 0.0127040589468335 0.00264089156499234 0.00322164948453608 0.00185866696405338 0.021772111652918 0.00900384709830564 0.00748118015616964 0 0 0.00298338255914556 0.00527384436885268 0.00152548319680259 0 0.0021749059353183 0 0.000983216494439911 0 0 0 0 0 0.0125695816124978
"hab" 0.0178126113288208 0.00252024597600726 0.00652883569096844 0.00464295663478503 0.00786918270668408 0 0.0727236317549319 0.000822354895478693 0.0404305857381109 0.0136559785874256 0.085397096498719 0.00467180565288484 0.0362830074581738 0 0.00186237079802589 0.0022625714124102 0.00982760738708489 0.00232805382460442 0.0530515236397589 0 0.0334119249051227 0.0303149112985695 0.0285710884394233 0.0299322782205261 0.044487004516562 0.0519214212010279 0 0.00455591243536299 0.0341682655662733 0.00434385995395508 0 0.000726802287973603 0.0333968379266636 0.00681777331523524 0.0520866416820174 0.0528178312998468 0.00214776632302406 0.00433688958279122 0.0100220831418194 0.00572972088073995 0.000935147519521204 0.00683480281593876 0.0845563809868938 0 0.0395538327663951 0.00152548319680259 0 0 0.00112801886047535 0.000983216494439911 0.0177118151431478 0.0181382131844656 0.0125825731362064 0.00437560164522622 0.00152247554523655 0.00179565451607111
"leser" 0.0044531528322052 0.0142813938640411 0.00870511425462459 0 0.0251813846613891 0.00142818377868864 0.0893235911772533 0.000822354895478693 0.00505382321726386 0.00273119571748511 0 0.00840925017519271 0.0161257810925217 0.0246424170996946 0.0446968991526213 0.00339385711861531 0.00163793456451415 0 0.0912486206603854 0 0.00945620516182719 0.0634592143183389 0.0392852466042071 0.00748306955513151 0.0116872638984188 0.00197169953927954 0 0.0130982482516686 0.00262832812048256 0.076017549194214 0 0.00218040686392081 0 0.00123959514822459 0.000635202947341676 0.00792267469497702 0.00751718213058419 0.030977782734223 0.0155515083235128 0.0130965048702627 0.00561088511712723 0.00455653521062584 0 0.00596676511829112 0 0 0 0 0.00225603772095069 0 0.000908298212469118 0 0 0.00175024065809049 0.0327332242225859 0
"damit" 0.0341408383802399 0.0588057394401694 0.0239390642002176 0.0325006964434952 0.0708226443601568 0.0771219240491866 0.0682442776250991 0.032071840923669 0.0151614696517916 0.024580761457366 0 0.0383088063536557 0.0685345696432171 0.0589275191514437 0.0353850451624919 0.0565642853102551 0.126939928749846 0.036472843252136 0.0466853408029879 0 0.0699759181975212 0.0885195409918231 0.0654754110070118 0.12347064765967 0.0573052939535375 0.0637516184367052 0.0518000518000518 0.0780200004555912 0.0315399374457907 0.0412666695625733 0.0367683925527292 0.0923038905726475 0.051613294977571 0.0576411743924434 0.0495458298926507 0.0765858553847779 0.0451030927835052 0.0247822261873784 0.045617757748971 0.0343783252844397 0.0439519334174966 0.0478436197115713 0.0241589659962554 0.0387839732688923 0.0580122880573794 0.0289841807392492 0.0238390388099552 0.0500228365123208 0.0315845280933097 0.0707915875996736 0.0440524633047522 0.0201535702049618 0 0.0306292115165835 0.0289270353594945 0.0395043993535644
"erwiderte" 0.00296876855480347 0.0285627877280823 0 0.0557154796174204 0.0645272981948095 0.224224853254117 0.0279300904566043 0 0 0.106516632981919 0.0142328494164532 0.0383088063536557 0.00806289054626083 0.00857127551293727 0 0.0011312857062051 0 0.00232805382460442 0 0 0.0113474461941926 0.00323359053851408 0.00952369614647445 0 0.00339307661566998 0.00131446635951969 0 0.0495455477345725 0.00262832812048256 0.0217192997697754 0.0100277434234716 0.00654122059176242 0.00151803808757562 0.0340888665761762 0.000635202947341676 0.00792267469497702 0 0.0111520017843203 0 0.0278300728493083 0 0 0.0120794829981277 0 0 0 0 0 0 0 0.000454149106234559 0 0 0 0 0.0179565451607111
"stück" 0.00742192138700867 0.00336032796800968 0.00217627856365615 0.0232147831739252 0.00629534616534727 0.00142818377868864 0.00974918251787131 0.0205588723869673 0.00505382321726386 0 0 0.00560616678346181 0.00403144527313042 0.00535704719558579 0.0111742247881553 0.011312857062051 0.00573277097579952 0.0217285023629746 0.0148544266191325 0 0.0138691009040132 0.00444618699045687 0.00357138605492792 0.00374153477756576 0.0037700851285222 0.00591509861783862 0.0647500647500648 0.00512540148978337 0 0.00217192997697754 0.016712905705786 0.0239844755031289 0.00721068091598418 0.00681777331523524 0.00444642063139173 0.015845349389954 0.0107388316151203 0.0105324461296358 0.0124412066588103 0.00409265777195711 0.000935147519521204 0 0 0.00298338255914556 0.0105476887377054 0.00762741598401294 0 0.0036248432255305 0.00789613202332743 0.0324461443165171 0.0345153320738265 0 0 0.00962632361949768 0.00456742663570966 0.00179565451607111
"solche" 0.0163282270514191 0.0285627877280823 0.0348204570184984 0.0278577398087102 0.0110168557893577 0.0457018809180365 0.149663126220295 0.0263153566553182 0.00758073482589579 0.0682798929371279 0.0142328494164532 0.0112123335669236 0.0403144527313042 0.0439277870038035 0.0428345283545954 0.0294134283613327 0.188362474919127 0.0333687714859968 0.0169764875647229 0.0186671644577189 0.0353031659374882 0.0367820923755977 0.0369043225675885 0.0374153477756576 0.0192274341554632 0.0236603944713545 0 0.0484065696257318 0.0157699687228954 0.0195473697927979 0.0534812982585152 0.0436081372784161 0.0136623427881806 0.0247919029644918 0.0184208854729086 0.0237680240849311 0.0354381443298969 0.0334560053529609 0.0255735914653322 0.0417451092739625 0.0327301631832422 0.0410088168956326 0.0301987074953192 0.00298338255914556 0.0184584552909844 0.0228822479520388 0.0357585582149328 0.0355234636101989 0.025944433790933 0.0157314639110386 0.00908298212469118 0.0100767851024809 0.00629128656810318 0.0183775269099501 0.0175084687702204 0.01616089064464
"setzte" 0.0356252226576416 0.042004099600121 0.0174102285092492 0.0417866097130653 0.0440674231574309 0.0328482269098388 0.0200253478745465 0.00986825874574431 0.0505382321726386 0.0382367400447916 0.0284656988329063 0.0224246671338472 0.00806289054626083 0.00428563775646863 0.0223484495763106 0.0181005712992816 0.0425862986773678 0.0271606279537183 0.0254647313470843 0.0373343289154377 0.0384552343247639 0.0343568994717121 0.0238092403661861 0.0224492086653945 0.0339307661566998 0.00722956497735832 0.0906500906500907 0.018223649741452 0.0525665624096512 0.0651578993093263 0.0066851622823144 0.0450617418543634 0.0527518235432527 0.0440056277619729 0.00698723242075843 0.0528178312998468 0.0182560137457045 0.0402711175544899 0.015205919249657 0.0327412621756569 0.0402113433394118 0 0.0241589659962554 0.00596676511829112 0.0369169105819687 0.0472899791008802 0.0429102698579193 0.0405982441259416 0.051888867581866 0.0934055669717915 0.0367860776049993 0.0120921421229771 0 0.028878970858493 0.0327332242225859 0.0323217812892799
"versetzte" 0 0.00672065593601936 0.0043525571273123 0.00928591326957006 0.155809817592345 0.0671246375983662 0.0163364680029195 0.00164470979095739 0.0429574973467428 0 0 0.00373744452230787 0 0.00107140943911716 0.00186237079802589 0.088240285083998 0.0155603783628844 0.0100882332399525 0.0169764875647229 0 0.0977141200055476 0.00889237398091373 0.0714277210985584 0.00374153477756576 0.0395858938494831 0.000657233179759847 0.0388500388500388 0.0113897810884075 0.0183982968433779 0.00434385995395508 0 0.0370669166866537 0.0804560186415077 0.00743757088934754 0.000635202947341676 0.0713040722547932 0.00107388316151203 0.0111520017843203 0.0138235629542336 0.0294671359580912 0.0149623603123393 0 0 0 0.00791076655327901 0.00152548319680259 0.00715171164298655 0.0115994983216976 0.00225603772095069 0 0.000454149106234559 0 0 0.000875120329045244 0.00304495109047311 0.00538696354821332
"darauf" 0.0526956418477615 0.0193218858160556 0.0239390642002176 0.0789302627913455 0.0472150962401045 0.0671246375983662 0.0740410888519415 0.0304271311327116 0.0252691160863193 0.0273119571748511 0.0569313976658127 0.056996028965195 0.0362830074581738 0.0385707398082177 0.0242108203743365 0.0678771423723061 0.203103885999754 0.0535452379659018 0.0254647313470843 0.0186671644577189 0.110322393554651 0.0383988876448548 0.0547612528422281 0.0673476259961836 0.0475030726193797 0.0584937529986264 0.0259000259000259 0.0381557666461651 0.0709648592530291 0.0477824594935059 0.0300832302704148 0.0472421487182842 0.0383304617112843 0.0477244132066467 0.0285841326303754 0.0264089156499234 0.0719501718213058 0.0235431148780095 0.0314486057208815 0.0270115412949169 0.0542385561322299 0.0205044084478163 0.0603974149906384 0.0775679465377845 0.0606492102418058 0.0762741598401294 0.0500619815009059 0.0695969899301855 0.0530168864423413 0.0137650309221587 0.0372402267112338 0.0302303553074427 0.0188738597043095 0.0332545725037193 0.0380618886309139 0.0682348716107021
"desto" 0.00371096069350433 0.00168016398400484 0.00217627856365615 0 0.0299028942853995 0.0142818377868864 0.00606030264624433 0.0402953898784559 0.0126345580431597 0.0109247828699405 0.0569313976658127 0.0158841392198085 0.0120943358193913 0.0235710076605775 0.033522674364466 0.0181005712992816 0.03357765857254 0.0170723947137658 0.0106103047279518 0.0466679111442972 0.0138691009040132 0.0157637538752562 0.0190473922929489 0 0.0150803405140888 0.0118301972356772 0 0.0222100731223946 0.0210266249638605 0 0.0066851622823144 0.0392473235505745 0.00493362378462076 0.00495838059289836 0.0133392618941752 0.00792267469497702 0.0343642611683849 0.0898355699292467 0.045617757748971 0.0605713350249652 0.0448870809370178 0.0136696056318775 0.00603974149906384 0.00298338255914556 0 0.00762741598401294 0 0.0036248432255305 0 0.0117985979332789 0.00590393838104927 0.00604607106148854 0.0314564328405159 0.0105014439485429 0.0144635176797473 0.0125695816124978
"weiter" 0.0363674147963425 0.0436842635841258 0.058759521218716 0.0464295663478503 0.0676749712774831 0.0214227566803296 0.0669268205280895 0.0296047762372329 0.0530651437812705 0.0682798929371279 0 0.0485867787900023 0.0443458980044346 0.040713558686452 0.016761337182233 0.0260195712427173 0.0434052659596249 0.0450090406090189 0.0615397674221204 0.0280007466865783 0.0617805403906043 0.0335485018370836 0.0380947845858978 0.0486399521083548 0.0493881151836408 0.0236603944713545 0.012950012950013 0.0461286134080503 0.0367965936867559 0.0260631597237305 0.0300832302704148 0.0654122059176242 0.0349148760142392 0.0421462350396361 0.0431938004192339 0.0448951566048698 0.0633591065292096 0.0142497800577426 0.0276471259084673 0.0261930097405255 0.0233786879880301 0.0501218873168842 0.0543576734915746 0.0596676511829112 0.0369169105819687 0.0564428782816957 0.0524458853819014 0.0521977424476391 0.0338405658142604 0.0304797113276372 0.0140786222932713 0.0463532114714122 0.00629128656810318 0.032379452174674 0.0433905530392418 0.0484826719339199
"darüber" 0.0423049519059494 0.010080983904029 0.015233949945593 0.0232147831739252 0.0723964809014936 0.148531112983619 0.0413681528461026 0.0139800332231378 0.0277960276949512 0.024580761457366 0 0.0149497780892315 0.0564402338238258 0.0460706058820378 0.0558711239407766 0.0633519995474857 0.149871012653045 0.0388008970767404 0.0212206094559036 0 0.0296294428403919 0.0286981160293125 0.0249997023844954 0.0187076738878288 0.0207354682068721 0.0315471926284727 0 0.0210710950135538 0.0183982968433779 0.0217192997697754 0.033425811411572 0.0196236617752873 0.00759019043787809 0.027271093260941 0.048910626945309 0.015845349389954 0.0236254295532646 0.0204453366045872 0.0231544679483413 0.0139150364246542 0.0187029503904241 0.0227826760531292 0.0422781904934469 0.02685044303231 0.0711968989795111 0.025933214345644 0.0286068465719462 0.0463979932867903 0.00902415088380278 0.0255636288554377 0.0472315070483941 0.0302303553074427 0.0188738597043095 0.0131268049356787 0.0114185665892742 0.0269348177410666
"essen" 0.0170704191901199 0.0109210658960315 0.00652883569096844 0.00928591326957006 0.00157383654133682 0 0.014492028067106 0.00575648426835085 0.0126345580431597 0 0 0.0028030833917309 0.00806289054626083 0.00428563775646863 0.0297979327684142 0.00452514282482041 0.0122845092338561 0.0248325741291139 0.00848824378236143 0 0.0226948923883853 0.0133385609713706 0.0214283163295675 0.0224492086653945 0.00716316174419218 0.0427201566843901 0 0.00740335770746486 0 0.00217192997697754 0.0066851622823144 0.0138092434714984 0.00303607617515123 0.010536558759909 0.00317601473670838 0 0.0182560137457045 0.00185866696405338 0.00345589073855841 0.00245559466317427 0.00280544255856361 0.00455653521062584 0 0 0.0131846109221317 0 0.00476780776199104 0.0014499372902122 0.00676811316285208 0.0245804123609978 0.0326987356488882 0 0 0 0 0
"worin" 0.0141016506353165 0.000840081992002419 0.00870511425462459 0 0.0834133366908513 0.0299918593524615 0.0242412105849773 0.0312494860281903 0 0.00546239143497023 0.0142328494164532 0.0112123335669236 0.0201572263656521 0.0107140943911716 0 0.0339385711861531 0.00163793456451415 0.0791538300365505 0 0 0.0416073027120396 0.0307191101158838 0.0333329365126606 0.0299322782205261 0.0395858938494831 0 0 0.000569489054420374 0.0341682655662733 0.00217192997697754 0 0.000726802287973603 0.00113852856568171 0.00247919029644918 0.00190560884202503 0.0184862409549464 0 0.117096018735363 0.0459633468228269 0.0622083981337481 0.072941506522654 0 0 0 0 0.00457644959040776 0.00238390388099552 0.0036248432255305 0.00225603772095069 0.00393286597775964 0.00408734195611103 0.00604607106148854 0 0 0.00152247554523655 0.00359130903214222
"zwei" 0.0341408383802399 0.0470445915521355 0.0195865070729053 0.0789302627913455 0.0157383654133682 0.0257073080163955 0.0447935412983276 0.0419400996694133 0.0480113205640067 0.0300431528923363 0.0142328494164532 0.0308339173090399 0.048377343277565 0.0492848341993893 0.00931185399012944 0.143673284688048 0.0303017894435117 0.0232805382460442 0.0466853408029879 0.00933358222885944 0.0661934361327903 0.124897434550107 0.0678563350436304 0.0448984173307891 0.0614523875949119 0.0374622912463113 0.012950012950013 0.127565548190164 0.0604515467710989 0.0803614091481691 0.0267406491292576 0.111200750059961 0.0284632141420428 0.0892508506721705 0.0165152766308836 0.0607405059948239 0.0225515463917526 0.0111520017843203 0.0490736484875294 0.0180076941966113 0.0355356057418058 0.0250609436584421 0.0241589659962554 0.0716011814194934 0.0263692218442634 0.0289841807392492 0.0405263659769238 0.028998745804244 0.0248164149304576 0.122902061804989 0.152139950588577 0.0241842842459542 0.0251651462724127 0.0122516846066334 0.00837361549880105 0.0197521996767822
